ID,State,City,Locality,Property_Type,BHK,Size_in_SqFt,Price_in_Lakhs,Price_per_SqFt,Year_Built,Furnished_Status,Floor_No,Total_Floors,Age_of_Property,Nearby_Schools,Nearby_Hospitals,Public_Transport_Accessibility,Parking_Space,Security,Amenities,Facing,Owner_Type,Availability_Status,Future_Price_5Y,Good_Investment,Luxury_Property,Spacious_Property
98056,Punjab,Amritsar,Locality_57,Villa,4,1756,428.82,0.24,2004,Unfurnished,12,22,21,10,8,High,No,Yes,"Clubhouse, Garden, Pool, Playground, Gym",West,Builder,Ready_to_Move,618.4098984,0,1,0
198905,Chhattisgarh,Bilaspur,Locality_284,Apartment,1,4729,269.81,0.06,2006,Unfurnished,9,21,19,2,10,Medium,Yes,No,"Gym, Pool",East,Broker,Ready_to_Move,378.1602998,0,1,1
113369,Rajasthan,Jodhpur,Locality_145,Independent House,2,2862,216.07,0.08,2011,Furnished,19,22,14,10,2,High,No,No,"Pool, Playground",North,Broker,Ready_to_Move,297.1481068,0,1,1
15502,Haryana,Gurgaon,Locality_75,Independent House,2,992,496.96,0.5,2000,Furnished,13,23,25,2,5,High,No,Yes,"Garden, Gym, Playground, Clubhouse, Pool",East,Builder,Under_Construction,638.5140864,0,1,0
180180,Rajasthan,Jodhpur,Locality_359,Villa,3,4843,408.94,0.08,2019,Semi-furnished,18,15,6,5,5,Low,No,No,"Gym, Garden, Clubhouse",North,Owner,Under_Construction,580.6375483999999,1,1,1
111014,Uttar Pradesh,Lucknow,Locality_261,Independent House,3,2145,157.44,0.07,1994,Unfurnished,26,13,31,2,6,Medium,No,Yes,"Clubhouse, Playground",South,Owner,Under_Construction,207.64761599999994,0,1,1
208705,Telangana,Hyderabad,Locality_230,Villa,1,1669,261.72,0.16,1997,Unfurnished,27,7,28,10,9,Medium,Yes,No,Garden,North,Broker,Under_Construction,364.93713360000004,0,1,0
138105,Assam,Guwahati,Locality_373,Apartment,3,1132,275.71,0.24,2020,Unfurnished,8,18,5,2,8,High,No,No,"Garden, Gym, Clubhouse, Playground, Pool",North,Owner,Under_Construction,369.90356439999994,0,1,0
155477,Assam,Silchar,Locality_403,Independent House,1,2226,310.58,0.14,2013,Semi-furnished,12,8,12,6,7,Low,Yes,No,Gym,East,Broker,Under_Construction,429.07248159999995,0,1,1
60728,Uttar Pradesh,Lucknow,Locality_198,Villa,2,3090,243.66,0.08,2002,Semi-furnished,28,18,23,1,6,Low,No,Yes,"Gym, Clubhouse",East,Builder,Under_Construction,323.77540799999997,0,1,1
175430,Assam,Silchar,Locality_444,Independent House,3,553,55.17,0.1,2008,Unfurnished,22,21,17,8,5,High,No,Yes,"Pool, Clubhouse, Playground",South,Builder,Under_Construction,75.4207002,0,0,0
24992,Karnataka,Mangalore,Locality_84,Villa,2,4304,315.58,0.07,2005,Unfurnished,15,27,20,4,2,Low,No,Yes,Pool,East,Owner,Ready_to_Move,428.26730639999994,0,1,1
121662,Uttarakhand,Haridwar,Locality_488,Villa,5,2566,64.6,0.03,1999,Furnished,1,17,26,9,2,Medium,Yes,Yes,Clubhouse,North,Broker,Ready_to_Move,92.72167199999998,0,0,1
42898,Haryana,Faridabad,Locality_433,Villa,5,2595,181.08,0.07,1996,Furnished,5,7,29,5,5,Low,No,No,"Pool, Garden, Clubhouse",East,Owner,Ready_to_Move,246.069612,0,1,1
65708,Karnataka,Bangalore,Locality_499,Villa,4,890,271.05,0.3,2000,Unfurnished,22,19,25,1,1,High,No,Yes,Pool,East,Broker,Under_Construction,344.45034,0,1,0
24630,Assam,Guwahati,Locality_401,Villa,4,1388,69.59,0.05,2023,Semi-furnished,28,5,2,1,1,High,No,No,"Gym, Playground, Garden",West,Broker,Under_Construction,90.5894784,0,0,0
38490,Jharkhand,Ranchi,Locality_457,Apartment,1,676,181.25,0.27,1999,Furnished,14,24,26,5,2,Low,No,Yes,"Playground, Gym, Clubhouse, Pool",East,Broker,Under_Construction,229.73799999999994,0,1,0
43701,West Bengal,Kolkata,Locality_32,Independent House,3,3276,162.52,0.05,1990,Unfurnished,21,10,35,10,5,Medium,Yes,No,"Clubhouse, Gym, Playground, Pool, Garden",East,Owner,Under_Construction,229.23771040000003,0,1,1
81628,Uttar Pradesh,Lucknow,Locality_343,Independent House,5,2079,484.58,0.23,2012,Furnished,26,18,13,2,7,Medium,No,Yes,"Pool, Playground, Garden, Clubhouse",East,Broker,Ready_to_Move,674.3318363999999,0,1,1
103297,Maharashtra,Nagpur,Locality_92,Independent House,3,1069,399.58,0.37,2004,Unfurnished,20,14,21,3,7,High,Yes,Yes,"Pool, Garden, Playground",North,Builder,Ready_to_Move,545.5785404,0,1,0
120292,Kerala,Trivandrum,Locality_435,Apartment,1,531,52.31,0.1,1990,Unfurnished,26,22,35,10,5,Medium,No,No,"Playground, Pool, Garden, Clubhouse",North,Builder,Ready_to_Move,67.7738822,0,0,0
6125,West Bengal,Kolkata,Locality_295,Villa,4,2411,51.9,0.02,2022,Unfurnished,28,2,3,8,8,Low,Yes,No,"Garden, Pool, Gym, Playground",East,Broker,Ready_to_Move,76.615818,1,0,1
205284,Delhi,New Delhi,Locality_353,Villa,1,800,344.94,0.43,1992,Unfurnished,10,20,33,3,4,Low,No,Yes,"Garden, Clubhouse, Pool",East,Broker,Under_Construction,431.8648799999999,0,1,0
14439,Jharkhand,Ranchi,Locality_495,Independent House,5,2604,271.68,0.1,1997,Semi-furnished,1,21,28,5,4,Medium,Yes,Yes,"Playground, Pool, Clubhouse, Gym",East,Builder,Under_Construction,382.54717439999996,0,1,1
112759,Uttarakhand,Dehradun,Locality_26,Apartment,4,3323,154.82,0.05,1997,Semi-furnished,6,24,28,3,7,High,Yes,Yes,"Garden, Gym",South,Owner,Ready_to_Move,218.52223719999998,0,1,1
155038,Madhya Pradesh,Bhopal,Locality_59,Apartment,5,4159,159.68,0.04,2006,Semi-furnished,11,21,19,10,6,Low,No,No,Gym,South,Broker,Ready_to_Move,234.43898240000001,0,1,1
163614,Uttarakhand,Haridwar,Locality_261,Villa,5,4840,367.16,0.08,1999,Semi-furnished,2,13,26,9,7,Low,Yes,Yes,"Clubhouse, Playground, Garden, Gym, Pool",North,Broker,Ready_to_Move,558.376928,0,1,1
168089,Odisha,Bhubaneswar,Locality_487,Villa,4,4761,19.64,0.0,2021,Semi-furnished,11,15,4,2,5,High,Yes,Yes,"Playground, Garden, Clubhouse",South,Builder,Under_Construction,28.718000800000002,0,0,1
89086,Assam,Guwahati,Locality_263,Apartment,4,690,59.51,0.09,2019,Furnished,21,5,6,7,4,High,No,No,"Pool, Garden, Clubhouse",East,Owner,Under_Construction,81.159738,0,0,0
178221,Uttar Pradesh,Noida,Locality_468,Independent House,2,2640,265.2,0.1,1999,Furnished,26,10,26,4,2,Low,No,No,"Playground, Pool",West,Owner,Ready_to_Move,341.25935999999996,0,1,1
44623,Punjab,Ludhiana,Locality_442,Villa,1,2546,134.69,0.05,2006,Semi-furnished,15,17,19,8,6,High,Yes,Yes,Clubhouse,West,Broker,Ready_to_Move,190.0368148,0,0,1
181519,Bihar,Patna,Locality_303,Villa,4,3101,124.32,0.04,2015,Furnished,24,4,10,3,5,Low,No,No,"Clubhouse, Gym",South,Broker,Ready_to_Move,170.5695264,0,0,1
110183,Odisha,Cuttack,Locality_232,Independent House,2,1412,179.82,0.13,1998,Semi-furnished,10,27,27,5,5,Low,Yes,No,Pool,West,Owner,Under_Construction,238.1248368,0,1,0
236011,Tamil Nadu,Coimbatore,Locality_32,Apartment,2,1110,482.78,0.43,2016,Semi-furnished,10,3,9,3,10,High,No,Yes,"Gym, Playground, Clubhouse, Garden",North,Owner,Ready_to_Move,661.0223759999999,0,1,0
105084,Maharashtra,Mumbai,Locality_79,Independent House,3,3423,333.61,0.1,1998,Furnished,6,18,27,7,4,Low,Yes,Yes,"Gym, Pool, Playground, Clubhouse",North,Builder,Ready_to_Move,472.54522059999994,0,1,1
15231,Tamil Nadu,Chennai,Locality_246,Apartment,2,559,478.09,0.86,2012,Furnished,27,9,13,4,7,Medium,Yes,Yes,"Gym, Garden, Playground, Clubhouse",South,Broker,Under_Construction,653.1569962,0,1,0
1190,Uttarakhand,Haridwar,Locality_331,Independent House,3,3964,161.92,0.04,2008,Unfurnished,15,19,17,8,1,Low,Yes,No,"Garden, Clubhouse",South,Owner,Ready_to_Move,228.0286976,0,1,1
155434,Uttarakhand,Haridwar,Locality_243,Independent House,3,2474,466.55,0.19,2004,Semi-furnished,6,29,21,10,4,High,Yes,Yes,"Gym, Clubhouse, Pool",North,Builder,Under_Construction,671.589394,0,1,1
107705,Telangana,Warangal,Locality_349,Villa,3,1988,154.67,0.08,2005,Unfurnished,24,29,20,1,2,Medium,No,No,Garden,West,Builder,Ready_to_Move,196.54844919999996,0,1,1
111048,Delhi,New Delhi,Locality_150,Independent House,3,1713,35.71,0.02,1996,Semi-furnished,26,19,29,2,5,High,Yes,Yes,"Clubhouse, Gym, Playground",West,Owner,Ready_to_Move,47.71784459999999,0,0,0
68068,Karnataka,Mangalore,Locality_122,Apartment,1,1642,12.28,0.01,2023,Unfurnished,27,24,2,4,7,Medium,No,Yes,"Playground, Garden, Gym, Pool",West,Owner,Under_Construction,16.760235199999997,0,0,0
100474,Jharkhand,Ranchi,Locality_127,Villa,3,2836,71.17,0.03,2009,Semi-furnished,4,29,16,2,4,Low,No,Yes,"Playground, Garden",North,Builder,Ready_to_Move,95.8460624,0,0,1
152020,Delhi,New Delhi,Locality_12,Independent House,4,1351,22.82,0.02,2019,Semi-furnished,4,20,6,3,8,Medium,Yes,No,Clubhouse,South,Builder,Ready_to_Move,31.925636400000005,0,0,0
199818,Punjab,Ludhiana,Locality_443,Villa,2,4535,173.11,0.04,2005,Furnished,23,29,20,5,3,High,Yes,Yes,"Garden, Gym, Pool",North,Owner,Under_Construction,244.03316700000002,0,1,1
68529,Uttar Pradesh,Lucknow,Locality_479,Apartment,1,3533,122.73,0.03,2021,Unfurnished,18,28,4,3,8,Medium,Yes,No,"Pool, Playground, Garden",North,Broker,Ready_to_Move,172.0257318,0,0,1
124988,West Bengal,Kolkata,Locality_365,Independent House,2,3397,71.93,0.02,1990,Furnished,27,21,35,3,4,High,Yes,Yes,"Playground, Gym, Clubhouse, Garden, Pool",West,Builder,Ready_to_Move,96.74153419999999,0,0,1
20282,Maharashtra,Nagpur,Locality_46,Villa,1,4918,45.74,0.01,2018,Furnished,12,23,7,9,2,Medium,Yes,No,Garden,West,Builder,Ready_to_Move,65.6533664,0,0,1
160850,Gujarat,Ahmedabad,Locality_185,Apartment,3,4388,41.8,0.01,1991,Furnished,5,4,34,9,7,Medium,No,No,Playground,East,Builder,Under_Construction,58.969767999999995,0,0,1
125906,Uttarakhand,Haridwar,Locality_313,Independent House,5,691,455.34,0.66,2003,Semi-furnished,5,4,22,5,9,Low,No,Yes,"Pool, Gym",South,Builder,Under_Construction,633.7513187999999,0,1,0
93085,Rajasthan,Jaipur,Locality_40,Villa,5,1173,131.12,0.11,2021,Semi-furnished,14,12,4,8,2,High,Yes,Yes,"Garden, Pool",South,Broker,Under_Construction,189.0042352,0,0,0
12671,Bihar,Gaya,Locality_153,Villa,5,3782,357.72,0.09,1995,Semi-furnished,0,28,30,2,7,Low,No,Yes,"Garden, Gym",South,Broker,Under_Construction,497.81746079999994,0,1,1
233663,Tamil Nadu,Coimbatore,Locality_424,Independent House,3,1223,245.76,0.2,2010,Semi-furnished,2,16,15,5,7,Low,Yes,No,"Playground, Pool, Clubhouse, Garden",North,Owner,Ready_to_Move,338.03304959999997,0,1,0
71255,Haryana,Gurgaon,Locality_63,Apartment,1,4483,485.0,0.11,2005,Unfurnished,6,11,20,2,10,Medium,Yes,Yes,"Gym, Playground, Clubhouse, Garden, Pool",East,Broker,Ready_to_Move,688.5350999999999,0,1,1
12955,Maharashtra,Mumbai,Locality_426,Apartment,2,3498,228.33,0.07,2008,Unfurnished,9,7,17,1,8,Low,Yes,Yes,"Gym, Playground, Clubhouse, Pool",North,Broker,Ready_to_Move,318.5112168,0,1,1
101823,Delhi,New Delhi,Locality_437,Apartment,2,3871,38.15,0.01,1991,Unfurnished,8,14,34,9,1,Medium,No,Yes,Clubhouse,East,Owner,Under_Construction,51.976322999999994,0,0,1
95829,Assam,Silchar,Locality_206,Independent House,3,3656,11.15,0.0,2000,Furnished,19,17,25,8,7,High,No,Yes,Clubhouse,North,Owner,Under_Construction,15.934688,0,0,1
135248,Uttar Pradesh,Lucknow,Locality_105,Villa,3,2068,475.61,0.23,2013,Semi-furnished,30,29,12,7,4,Medium,Yes,Yes,"Clubhouse, Garden, Gym, Playground",South,Builder,Ready_to_Move,675.0618096,0,1,1
26910,Rajasthan,Jodhpur,Locality_301,Independent House,3,4702,497.74,0.11,2020,Furnished,13,24,5,6,2,High,Yes,No,"Gym, Clubhouse, Pool, Playground",West,Owner,Under_Construction,714.2768096,0,1,1
121177,Uttar Pradesh,Noida,Locality_190,Independent House,4,3217,251.24,0.08,2001,Unfurnished,4,22,24,1,2,Low,No,Yes,Garden,West,Builder,Ready_to_Move,333.4809016,0,1,1
72157,Madhya Pradesh,Indore,Locality_24,Apartment,2,648,471.29,0.73,1996,Unfurnished,13,14,29,7,9,Medium,No,No,"Playground, Gym, Clubhouse",North,Broker,Ready_to_Move,625.3829784000001,0,1,0
20622,Madhya Pradesh,Bhopal,Locality_478,Villa,1,1672,89.69,0.05,2016,Unfurnished,7,5,9,10,9,Medium,Yes,Yes,"Playground, Gym",North,Broker,Under_Construction,130.7177936,1,0,0
80046,Karnataka,Bangalore,Locality_118,Villa,4,3406,356.08,0.1,2001,Unfurnished,19,16,24,1,8,Medium,No,Yes,"Playground, Garden, Clubhouse, Pool",North,Broker,Ready_to_Move,491.07704959999995,0,1,1
81276,Kerala,Kochi,Locality_491,Apartment,4,4359,352.19,0.08,2001,Semi-furnished,26,1,24,7,2,Low,Yes,No,"Clubhouse, Garden, Playground, Pool",West,Broker,Under_Construction,498.41224420000003,0,1,1
161594,Haryana,Faridabad,Locality_89,Villa,2,4671,422.45,0.09,1995,Unfurnished,13,11,30,9,5,Medium,No,No,"Clubhouse, Playground, Gym, Garden",North,Builder,Under_Construction,588.6502790000001,0,1,1
194246,Gujarat,Ahmedabad,Locality_197,Apartment,4,1191,317.45,0.27,1998,Furnished,10,10,27,8,4,Medium,Yes,Yes,Pool,South,Broker,Ready_to_Move,443.420509,0,1,0
167958,Uttar Pradesh,Lucknow,Locality_395,Independent House,1,4663,496.29,0.11,2014,Furnished,15,4,11,10,5,Low,No,No,"Gym, Clubhouse, Playground, Garden",East,Owner,Ready_to_Move,707.8385754,0,1,1
57525,Bihar,Patna,Locality_34,Apartment,4,2476,413.44,0.17,2020,Furnished,29,3,5,3,3,Low,No,Yes,"Gym, Playground, Pool, Garden, Clubhouse",East,Builder,Under_Construction,569.9353088,0,1,1
210119,Delhi,New Delhi,Locality_361,Apartment,3,2595,484.32,0.19,1997,Furnished,3,30,28,6,8,Medium,No,Yes,"Gym, Clubhouse, Pool",South,Builder,Under_Construction,673.1563679999999,0,1,1
80722,Haryana,Gurgaon,Locality_186,Apartment,4,1534,232.42,0.15,1990,Unfurnished,10,7,35,9,9,Low,Yes,No,"Playground, Clubhouse",West,Builder,Under_Construction,328.3350856,0,1,0
156221,Uttarakhand,Dehradun,Locality_449,Villa,3,3329,265.58,0.08,2023,Unfurnished,22,23,2,6,10,High,No,No,Playground,East,Broker,Under_Construction,384.4482964,1,1,1
230116,Maharashtra,Nagpur,Locality_358,Apartment,1,582,199.91,0.34,2003,Furnished,20,29,22,5,6,Medium,Yes,Yes,"Clubhouse, Garden, Pool, Playground",North,Broker,Under_Construction,267.00779239999997,0,1,0
114917,West Bengal,Durgapur,Locality_372,Villa,1,4077,190.93,0.05,2013,Furnished,29,25,12,9,1,Medium,No,No,"Clubhouse, Garden, Gym, Pool",North,Builder,Ready_to_Move,261.6772022,0,1,1
35693,Assam,Guwahati,Locality_470,Independent House,5,4092,443.82,0.11,2001,Furnished,19,2,24,3,6,Medium,No,No,"Playground, Garden, Clubhouse, Gym, Pool",South,Builder,Under_Construction,615.5073287999999,0,1,1
139738,Telangana,Hyderabad,Locality_137,Independent House,3,2235,205.86,0.09,2009,Unfurnished,30,5,16,2,10,High,No,No,Gym,East,Builder,Under_Construction,279.496122,0,1,1
221841,Karnataka,Bangalore,Locality_494,Apartment,4,2952,88.56,0.03,2019,Furnished,1,23,6,3,8,Low,Yes,No,"Gym, Garden",East,Builder,Ready_to_Move,126.73290240000001,0,0,1
69583,Odisha,Cuttack,Locality_414,Villa,1,2119,144.11,0.07,2005,Unfurnished,28,22,20,5,8,High,No,No,"Clubhouse, Gym",West,Builder,Under_Construction,191.8651718,0,0,1
32924,Jharkhand,Ranchi,Locality_6,Independent House,1,559,489.97,0.88,2013,Furnished,22,28,12,5,6,Medium,No,No,Clubhouse,West,Owner,Under_Construction,637.0491946,0,1,0
230747,West Bengal,Durgapur,Locality_139,Independent House,3,4524,430.69,0.1,1993,Furnished,5,28,32,3,3,High,No,Yes,"Gym, Garden, Clubhouse, Pool, Playground",East,Broker,Under_Construction,581.6382311999998,0,1,1
198762,Punjab,Amritsar,Locality_82,Apartment,3,4012,173.52,0.04,2011,Unfurnished,24,7,14,9,2,Low,Yes,Yes,"Pool, Gym, Garden",West,Owner,Ready_to_Move,253.0338048,0,1,1
169666,Maharashtra,Nagpur,Locality_277,Apartment,5,4719,185.82,0.04,2003,Unfurnished,21,2,22,10,4,Medium,Yes,No,"Garden, Clubhouse",North,Builder,Ready_to_Move,276.38495159999997,0,1,1
229620,Uttar Pradesh,Noida,Locality_49,Apartment,1,2273,388.52,0.17,2001,Unfurnished,15,30,24,3,8,Medium,No,Yes,"Playground, Clubhouse, Pool, Garden, Gym",South,Owner,Under_Construction,517.2988392,0,1,1
13859,Delhi,Dwarka,Locality_5,Villa,4,4783,365.57,0.08,2002,Unfurnished,6,15,23,4,3,High,No,Yes,"Clubhouse, Playground",South,Owner,Ready_to_Move,511.3081362,0,1,1
63094,Bihar,Gaya,Locality_420,Independent House,1,4553,361.51,0.08,2002,Furnished,11,2,23,4,6,Medium,No,No,"Garden, Gym",South,Broker,Ready_to_Move,487.3371705999999,0,1,1
176366,Uttar Pradesh,Lucknow,Locality_77,Apartment,5,1908,180.63,0.09,2005,Furnished,5,3,20,3,5,Medium,No,Yes,"Garden, Gym, Clubhouse, Pool, Playground",West,Owner,Ready_to_Move,247.13074079999996,0,1,1
87569,Assam,Guwahati,Locality_390,Independent House,3,2626,175.68,0.07,2019,Unfurnished,22,17,6,9,1,High,No,No,"Playground, Pool, Garden, Clubhouse",West,Owner,Under_Construction,243.0567936,0,1,1
125539,Punjab,Ludhiana,Locality_499,Independent House,1,2895,170.21,0.06,2022,Furnished,14,27,3,9,1,High,Yes,Yes,"Clubhouse, Pool, Gym, Garden, Playground",South,Owner,Ready_to_Move,241.68117900000001,0,1,1
238784,Assam,Silchar,Locality_4,Apartment,2,1426,422.47,0.3,1995,Unfurnished,23,9,30,2,7,Medium,No,No,"Garden, Clubhouse, Gym, Playground",West,Builder,Ready_to_Move,538.4464644000001,0,1,0
45551,Jharkhand,Jamshedpur,Locality_250,Apartment,1,2955,223.49,0.08,1996,Semi-furnished,2,11,29,1,3,Low,Yes,No,"Gym, Pool, Playground, Garden, Clubhouse",North,Owner,Ready_to_Move,286.089549,0,1,1
197862,Uttarakhand,Dehradun,Locality_87,Independent House,1,3334,291.08,0.09,1991,Semi-furnished,25,21,34,1,4,High,No,No,"Gym, Playground",North,Owner,Ready_to_Move,365.50333439999997,0,1,1
201860,Chhattisgarh,Bilaspur,Locality_233,Independent House,1,998,23.44,0.02,2022,Semi-furnished,29,25,3,9,10,High,No,Yes,"Gym, Pool, Clubhouse",West,Builder,Under_Construction,33.3776224,1,0,0
226610,Punjab,Ludhiana,Locality_292,Apartment,4,2815,51.47,0.02,2004,Furnished,20,27,21,10,7,Medium,Yes,Yes,"Gym, Playground, Garden",North,Owner,Ready_to_Move,76.448391,0,0,1
44713,Punjab,Ludhiana,Locality_378,Villa,5,2528,232.65,0.09,1993,Semi-furnished,24,19,32,3,7,High,Yes,Yes,Pool,North,Broker,Under_Construction,326.30558399999995,0,1,1
77888,Madhya Pradesh,Bhopal,Locality_301,Apartment,4,2590,86.39,0.03,1991,Semi-furnished,21,27,34,9,8,High,Yes,No,"Playground, Gym, Pool, Clubhouse, Garden",North,Broker,Ready_to_Move,123.34764200000002,0,0,1
111285,Karnataka,Mysore,Locality_41,Apartment,2,3207,29.32,0.01,2015,Unfurnished,17,19,10,7,2,Low,Yes,Yes,Garden,West,Owner,Under_Construction,41.4919048,0,0,1
234145,Chhattisgarh,Bilaspur,Locality_327,Independent House,3,4318,145.68,0.03,2016,Semi-furnished,21,10,9,3,1,Medium,No,Yes,"Clubhouse, Playground",North,Broker,Under_Construction,200.5081248,0,0,1
207863,Uttarakhand,Haridwar,Locality_133,Villa,2,4274,53.11,0.01,1995,Furnished,6,3,30,4,10,High,No,No,"Playground, Clubhouse, Garden, Pool, Gym",North,Owner,Under_Construction,73.0517428,0,0,1
7159,Odisha,Cuttack,Locality_126,Villa,2,4993,432.38,0.09,2001,Semi-furnished,1,16,24,9,1,Medium,Yes,Yes,"Pool, Gym, Garden",West,Owner,Under_Construction,620.4047668,0,1,1
44541,Uttarakhand,Dehradun,Locality_170,Apartment,1,1757,290.79,0.17,2004,Unfurnished,17,15,21,2,5,Medium,No,No,"Gym, Garden",East,Broker,Ready_to_Move,368.76243059999996,0,1,0
